stop_date,stop_time,country_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,vehicle_number
2020-01-01,0:00:00,Canada,M,59,19,Asian,Drunk Driving,Speeding,TRUE,Vehicle Search,Ticket,TRUE,16-30 Min,TRUE,UP76DY3473
2020-01-01,0:01:00,India,M,35,58,Other,Other,Other,FALSE,Vehicle Search,Arrest,TRUE,16-30 Min,TRUE,RJ83PZ4441
2020-01-01,0:02:00,USA,M,26,76,Black,Signal Violation,Speeding,FALSE,Frisk,Ticket,TRUE,16-30 Min,TRUE,RJ32OM7264
2020-01-01,0:03:00,Canada,M,26,76,Black,Speeding,DUI,TRUE,Frisk,Warning,FALSE,0-15 Min,TRUE,RJ76TI3807
2020-01-01,0:04:00,Canada,M,62,75,Other,Speeding,Other,FALSE,Vehicle Search,Arrest,TRUE,16-30 Min,FALSE,WB63BB8305
2020-01-01,0:05:00,Canada,F,44,73,Other,Drunk Driving,Other,TRUE,Vehicle Search,Ticket,FALSE,16-30 Min,FALSE,MH89ZF7676
2020-01-01,0:06:00,USA,F,80,70,White,Signal Violation,Speeding,FALSE,Vehicle Search,Ticket,FALSE,30+ Min,FALSE,KA40AD3153
2020-01-01,0:07:00,India,M,72,50,Asian,Drunk Driving,Other,FALSE,None,Arrest,TRUE,30+ Min,TRUE,DL75KZ7835
2020-01-01,0:08:00,USA,F,80,30,Hispanic,Other,Seatbelt,TRUE,Frisk,Arrest,FALSE,0-15 Min,TRUE,DL50PO5101
2020-01-01,0:09:00,USA,M,43,21,Asian,Signal Violation,Signal,TRUE,None,Warning,TRUE,16-30 Min,FALSE,KA79RD2271
2020-01-01,0:10:00,India,F,66,76,Black,Speeding,Signal,FALSE,None,Ticket,FALSE,30+ Min,TRUE,UP67CQ9426
2020-01-01,0:11:00,Canada,F,58,53,Hispanic,Signal Violation,Signal,FALSE,Vehicle Search,Arrest,TRUE,30+ Min,TRUE,KA61JB1004
2020-01-01,0:12:00,India,M,51,46,Asian,Drunk Driving,Signal,FALSE,Vehicle Search,Ticket,FALSE,16-30 Min,TRUE,WB70IV9884
2020-01-01,0:13:00,USA,M,55,58,Black,Seatbelt,DUI,FALSE,None,Arrest,TRUE,30+ Min,FALSE,WB56XQ8946
2020-01-01,0:14:00,India,M,44,25,Black,Seatbelt,DUI,FALSE,None,Arrest,TRUE,30+ Min,FALSE,GJ67CO6825
2020-01-01,0:15:00,USA,F,65,51,Hispanic,Other,DUI,TRUE,Frisk,Ticket,FALSE,16-30 Min,TRUE,WB75TF1052
2020-01-01,0:16:00,India,M,75,21,Asian,Seatbelt,Speeding,TRUE,Vehicle Search,Arrest,FALSE,16-30 Min,FALSE,UP82DB7554
2020-01-01,0:17:00,Canada,F,44,55,White,Signal Violation,Other,TRUE,Vehicle Search,Warning,TRUE,0-15 Min,TRUE,MH15GS2782
2020-01-01,0:18:00,USA,M,46,71,White,Speeding,Speeding,TRUE,Frisk,Warning,TRUE,16-30 Min,TRUE,MH80WR1351
2020-01-01,0:19:00,Canada,F,42,41,Hispanic,Signal Violation,Signal,FALSE,None,Arrest,FALSE,30+ Min,FALSE,KA12GK6861
2020-01-01,0:20:00,USA,F,76,47,Hispanic,Signal Violation,Signal,FALSE,None,Warning,FALSE,0-15 Min,TRUE,KA78HN8680
2020-01-01,0:21:00,Canada,F,56,25,Black,Other,DUI,TRUE,Frisk,Arrest,FALSE,0-15 Min,FALSE,WB35BJ2947
2020-01-01,0:22:00,USA,F,25,59,Asian,Other,Speeding,FALSE,None,Ticket,TRUE,0-15 Min,TRUE,GJ46IJ2247
2020-01-01,0:23:00,Canada,F,47,60,Black,Signal Violation,Signal,TRUE,Frisk,Arrest,TRUE,0-15 Min,FALSE,GJ24GN5905
2020-01-01,0:24:00,India,M,33,76,Hispanic,Signal Violation,Speeding,FALSE,None,Warning,FALSE,16-30 Min,FALSE,MH83XS7688
2020-01-01,0:25:00,USA,F,18,58,White,Other,Speeding,FALSE,Frisk,Ticket,FALSE,16-30 Min,TRUE,KA95EW9912
2020-01-01,0:26:00,Canada,F,20,56,Asian,Drunk Driving,Other,FALSE,None,Ticket,TRUE,0-15 Min,FALSE,DL36PY9336
2020-01-01,0:27:00,India,F,63,61,Other,Drunk Driving,Signal,TRUE,Vehicle Search,Warning,FALSE,0-15 Min,FALSE,MH17TG9873
2020-01-01,0:28:00,USA,F,71,69,Hispanic,Seatbelt,Seatbelt,FALSE,Vehicle Search,Ticket,TRUE,0-15 Min,FALSE,GJ67TR1208
2020-01-01,0:29:00,USA,M,51,39,Hispanic,Other,Seatbelt,TRUE,Vehicle Search,Arrest,FALSE,30+ Min,TRUE,RJ65DM5842
2020-01-01,0:30:00,USA,M,69,23,Other,Other,Other,TRUE,Vehicle Search,Arrest,FALSE,16-30 Min,TRUE,RJ71DT4429
2020-01-01,0:31:00,USA,F,18,73,Asian,Drunk Driving,Signal,TRUE,Vehicle Search,Warning,FALSE,16-30 Min,FALSE,WB45XD7874
2020-01-01,0:32:00,India,F,44,26,Asian,Other,Signal,FALSE,Frisk,Arrest,TRUE,30+ Min,TRUE,GJ29NI1072
2020-01-01,0:33:00,India,M,44,70,Other,Drunk Driving,Speeding,TRUE,Vehicle Search,Arrest,TRUE,16-30 Min,FALSE,DL50DZ6634
2020-01-01,0:34:00,Canada,M,21,46,Asian,Speeding,Signal,TRUE,Frisk,Warning,FALSE,0-15 Min,FALSE,GJ18QH1179
2020-01-01,0:35:00,USA,M,40,24,Other,Speeding,Signal,FALSE,None,Warning,FALSE,30+ Min,TRUE,DL92KH6072
2020-01-01,0:36:00,Canada,F,56,46,Other,Other,Signal,TRUE,Frisk,Arrest,FALSE,16-30 Min,FALSE,DL97PL3910
2020-01-01,0:37:00,Canada,F,68,64,Hispanic,Speeding,Speeding,TRUE,Vehicle Search,Ticket,FALSE,16-30 Min,TRUE,DL78IQ3578
2020-01-01,0:38:00,Canada,F,29,76,Hispanic,Speeding,Signal,TRUE,Vehicle Search,Arrest,FALSE,0-15 Min,FALSE,RJ86OH2697
2020-01-01,0:39:00,USA,F,28,68,Hispanic,Seatbelt,Signal,TRUE,Frisk,Warning,FALSE,0-15 Min,TRUE,GJ17ED4625
2020-01-01,0:40:00,India,M,77,65,Other,Other,Seatbelt,FALSE,Frisk,Arrest,FALSE,16-30 Min,TRUE,GJ34GW6344
2020-01-01,0:41:00,Canada,M,42,67,Other,Speeding,DUI,FALSE,None,Ticket,FALSE,16-30 Min,FALSE,GJ83AS9833
2020-01-01,0:42:00,USA,M,54,71,Black,Signal Violation,Speeding,FALSE,None,Arrest,FALSE,30+ Min,TRUE,GJ62CZ2524
2020-01-01,0:43:00,USA,M,52,74,White,Drunk Driving,Signal,TRUE,Vehicle Search,Warning,FALSE,16-30 Min,TRUE,TN43VS9229
2020-01-01,0:44:00,India,F,57,61,Other,Speeding,Other,FALSE,None,Warning,FALSE,16-30 Min,FALSE,MH88XZ1430
2020-01-01,0:45:00,India,F,68,64,Asian,Other,Other,TRUE,None,Ticket,TRUE,16-30 Min,TRUE,DL31KD2035
